objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Dodos Riding Dinos: Dodo Dash","363278","0","0","0","1","0","0","0","0","0","0","0","3","","1-6 Players
20-60 min 
S-2-4","","","","148057718","5.70318","7.6161","1.7273","6292","1511","thing","Dodos Riding Dinos: Dodo Dash","1","6","60","60","20","2024","3,4,5,6","4,5,6","8–16","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dogfight!: Rule The Skies in 20 Minutes!","369154","0","0","0","1","0","0","0","0","0","0","0","3","","1-2 Players
20 Minutes
C-B-4","","","","137223751","5.6692","6.70258","2","7057","1086","thing","Dogfight!: Rule The Skies in 20 Minutes!","1","2","20","20","20","2023","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dogs With Jobs","422685","9","2","0","1","0","0","0","0","0","0","0","1","","2-5 Players
15-30 Min 
C-A-1

Quick fun and who doesn’t love dogs?","","","","139255677","5.57396","7.9786","2","11095","646","thing","Dogs With Jobs","2","5","30","30","15","2025","2,3,4,5","4,5","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dogs With Jobs: Gear","426273","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion 
C-A-1","","","","142294270","0","8.55556","0","0","257","thing","Dogs With Jobs: Gear","2","5","30","30","15","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dogs With Jobs: Odd Jobs","426271","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion 
C-B-1","","","","142294250","0","8.23077","0","0","263","thing","Dogs With Jobs: Odd Jobs","2","5","30","30","15","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion","36218","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30 min 
S-2-1","","","","135500235","7.4738","7.59729","2.3443","146","131257","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominoes","2394","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","135497487","5.5029","5.56874","1.3655","25301","18452","thing","Dominoes","2","10","30","30","30","1500","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Go In There","346057","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
25-35 Min
C-B-1","","","","135496324","5.84653","6.60872","1.7368","4359","2842","thing","Don't Go In There","2","5","35","35","25","2022","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Doomlings","324413","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","135499776","6.03164","6.75448","1.5915","3032","8318","thing","Doomlings","2","6","45","45","20","2022","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Doomlings: Legends of Enderas","444298","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137191185","5.52623","7.58529","2","0","277","thing","Doomlings: Legends of Enderas","2","6","45","45","20","2025","2,3,4,5","2","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dorfromantik: Sakura","424774","8.1","4","0","1","0","0","0","0","0","0","0","3","","2 player
30-90 Min 
S-1-2","","","","136060980","6.56478","7.99883","1.9362","1182","5983","thing","Dorfromantik: Sakura","1","6","90","90","30","2024","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Downfall of Pompeii","13004","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137223599","6.78928","7.1655","1.8439","774","9990","thing","The Downfall of Pompeii","2","4","45","45","45","2004","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Downforce","215311","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 Players
20-40 Minutes
S-1-5","","","","137190131","6.98893","7.25176","1.7339","518","20535","thing","Downforce","2","6","40","40","20","2017","2,3,4,5,6","3,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Downforce: Danger Circuit","242213","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137190129","6.43822","7.77744","1.8462","0","5689","thing","Downforce: Danger Circuit","2","6","40","40","20","2018","2,3,4,5,6","3,6","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dragon Ball Z: Over 9000","256262","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 6 players","","","","135496792","0","5.21429","0","0","112","thing","Dragon Ball Z: Over 9000","3","6","30","30","30","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragonkeepers","383109","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
20 minutes","","","","139482194","6.21152","7.06888","1.9583","2210","4786","thing","Dragonkeepers","2","4","20","20","20","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragonscroll","165404","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
60 Min
B-A-1","","","","135499889","5.60543","6.49375","2.1","9209","699","thing","Dragonscroll","2","4","60","60","60","2014","2,3,4","2,3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dream Runners","301002","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players 
30 minutes
S-1-1

Competitive tile placement","","","","138689938","5.65089","6.93904","2.1333","7526","838","thing","Dream Runners","2","4","40","40","30","2020","2,3,4","2,3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Drop Drive","308028","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 players
45-60 min 
S-3-2","","","","142315710","5.63797","7.40109","2.125","7910","773","thing","Drop Drive","2","4","60","60","45","2023","2,3,4","3,4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dulce","367522","5.5","1","0","1","0","0","0","0","0","0","0","3","","1 - 4 players","","","","135498081","5.57285","6.19634","1.8571","11191","630","thing","Dulce","1","4","30","30","30","2022","1,2,3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dumpster Diver","200169","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147239251","0","6.7375","0","0","72","thing","Dumpster Diver","2","4","30","30","20","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Date","330635","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 Players
20 - 40 Minutes
C-B-2","","","","142291730","5.54312","7.18777","1.75","14334","250","thing","Dungeon Date","1","4","45","45","20","2022","1,2","2,3","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Kart","398032","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 8 players","","","","135499836","5.7628","7.22727","2.2308","5298","1373","thing","Dungeon Kart","2","8","60","60","30","2024","3,4,5,6","5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Mayhem: Monster Madness","295577","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 Players
10 Min 
C-C-1","","","","139483021","6.28812","7.40524","1.1667","1929","6683","thing","Dungeon Mayhem: Monster Madness","2","6","10","10","10","2020","2,3,4,5,6","4","6–12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Petz","97207","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147069480","7.11089","7.3794","3.6337","382","20985","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Egg Game: Complete the challenges, don't drop the egg!","402212","0","0","0","1","0","0","0","0","0","0","0","3","","4 - 8 players
10 minutes
C-B-5","","","","135497470","0","6.62375","0","0","39","thing","The Egg Game: Complete the challenges, don't drop the egg!","2","99","10","10","10","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"EGO","429766","0","0","0","1","0","0","0","0","0","0","0","3","","2-5 players
40-80 min 
S-3-1","","","","140294693","5.85416","7.18569","2.4","4269","1208","thing","EGO","2","5","80","80","40","2025","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Emberheart","452817","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 plsyers
60-90 min 
S-2-1","","","","147297772","6.12062","7.35927","2.7188","2586","3041","thing","Emberheart","2","4","90","90","60","2025","3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Emberleaf","426513","9.5","1","0","1","0","0","0","0","0","0","0","3","","1-5 Players
90-120 Min 
S-2-4","","","","136060897","6.48111","7.65898","3.1277","1377","4167","thing","Emberleaf","1","5","120","120","90","2025","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Emerald Skulls","421762","8","2","0","1","0","0","0","0","0","0","0","3","","1-6 Players
30-45 min 
C-B-1","","","","138137502","5.72085","6.91247","1.9231","5961","1268","thing","Emerald Skulls","1","6","45","45","30","2025","4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Endangered","220133","0","0","0","1","0","0","0","0","0","0","0","3","","1-5 players
60-90 Min 
S-2-3","","","","147552698","6.34076","7.37305","2.5156","1746","4419","thing","Endangered","1","5","90","90","60","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Endless Winter: Ancestors","323060","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion for paleo
B-A-2","","","","138690604","6.11754","7.92166","3.2","0","7429","thing","Endless Winter: Ancestors","1","4","90","90","50","2022","1,2,3,4","2","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Endless Winter: Paleoamericans","305096","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players 
60 - 120 minutes 
B-A-2

Area control","","","","138690466","7.15628","7.61576","3.3269","343","18299","thing","Endless Winter: Paleoamericans","1","4","120","120","60","2022","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Endless Winter: Rivers & Rafts","323056","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion for paleoamericans endless winter
B-A-2","","","","138690394","5.9771","7.82691","3.2857","0","6686","thing","Endless Winter: Rivers & Rafts","1","4","90","90","50","2022","2,3,4","2,3","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Escape from the Aliens in Outer Space","82168","0","0","0","1","0","0","0","0","0","0","0","3","","2-8 Players
20-45 Minutes","","","","140295018","6.45152","6.90783","1.9756","1452","9630","thing","Escape from the Aliens in Outer Space","2","8","45","45","20","2010","4,5,6,7,8","6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape: Zombie City","149809","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
15 min 
S-3-3","","","","135500253","5.9421","6.72855","1.7692","3577","3525","thing","Escape: Zombie City","2","4","15","15","15","2014","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ethnos: 2nd Edition","432527","0","1","0","1","0","0","0","0","0","0","0","1","","1-6 players
60 min 
S-3-5","","","","143428157","6.21858","7.67012","2.2812","2184","2595","thing","Ethnos: 2nd Edition","1","6","60","60","60","2025","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ethnos: 2nd Edition – Promo Pack","436382","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion 
S-3-5","","","","147069519","5.54849","7.89","0","0","518","thing","Ethnos: 2nd Edition – Promo Pack","1","6","45","45","45","2024","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Even Deeper Regrets","440640","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion
S-2-3","","","","148056288","5.6738","8.15236","2","0","2711","thing","Even Deeper Regrets","1","5","150","150","60","2026","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Excalibur","434172","0","1","0","1","0","0","0","0","0","0","0","3","","2-8 Playres
15-25 Min 
C-B-1

Has to be with at least 4 players played at 2 and it took the fun out of the game","","","","146488692","6.04091","7.31507","1.1905","2986","2950","thing","Excalibur","2","8","25","25","15","2026","4,5,6,7,8","5,6","5–10","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Excavation Earth","292126","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players 
30 - 120 minutes 
S-3-4
Economic and science fiction","","","","138695190","6.13489","7.10432","3.8077","2516","3843","thing","Excavation Earth","1","4","120","120","30","2021","1,2,3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Excavation Earth: It Belongs in a Museum","341232","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion
S-3-3","","","","138695197","5.55605","7.68923","3.8","0","1138","thing","Excavation Earth: It Belongs in a Museum","1","4","120","120","30","2023","1,3","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Exceed Fighting System","224483","0","0","0","1","0","0","0","0","0","0","0","3","","2 players","","","","135496663","6.01534","8.03993","2.6522","3104","994","thing","Exceed Fighting System","2","2","30","30","5","2016","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Exceed: BlazBlue – Jin Box","316289","0","0","0","1","0","0","0","0","0","0","0","3","","2 players
 15 - 20 minutes","","","","139482582","5.54409","8.42195","3","14181","232","thing","Exceed: BlazBlue – Jin Box","2","2","20","20","15","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – Dead Man on the Orient Express","226522","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
1 - 2 Hours
C-C-3","","","","139485033","6.90858","7.52729","2.6354","612","11286","thing","EXIT: The Game – Dead Man on the Orient Express","1","4","120","120","60","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Abandoned Cabin","203420","0","0","0","1","0","0","0","0","0","0","0","2","","1 - 4 players
1 - 2 Hours
C-C-3","","","","139293814","7.07095","7.39827","2.5377","423","17911","thing","EXIT: The Game – The Abandoned Cabin","1","6","120","120","60","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Catacombs of Horror","255675","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
1 - 2 Hours
C-C-3","","","","139485016","6.3147","7.27438","2.7037","1825","4831","thing","EXIT: The Game – The Catacombs of Horror","1","4","240","240","120","2018","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Enchanted Forest","295944","7.8","0","0","1","0","0","0","0","0","0","0","3","","One time play only","","","","138137157","6.09163","6.93689","1.9259","2712","3938","thing","EXIT: The Game – The Enchanted Forest","1","4","90","90","45","2020","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Haunted Roller Coaster","269968","0","0","0","1","0","0","0","0","0","0","0","2","","1 - 4 players
1 - 2 Hours
C-C-3","","","","139294514","6.24324","7.0993","1.9744","2074","4414","thing","EXIT: The Game – The Haunted Roller Coaster","1","4","90","90","45","2019","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Lord of the Rings: Shadows over Middle-earth","341573","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
1 - 2 Hours
C-C-3","","","","142834948","5.88728","6.4043","2.2667","3998","4845","thing","EXIT: The Game – The Lord of the Rings: Shadows over Middle-earth","1","4","90","90","45","2022","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Mysterious Museum","244918","0","0","0","1","0","0","0","0","0","0","0","2","","1 - 4 players
1 - 2 Hours
C-C-3","","","","139294333","6.3557","7.07662","2.1277","1709","5573","thing","EXIT: The Game – The Mysterious Museum","1","4","90","90","45","2018","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Professor's Last Riddle","356313","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
1 - 2 Hours
C-C-3","","","","140295039","5.919","7.63261","2.4167","3743","1534","thing","EXIT: The Game – The Professor's Last Riddle","1","4","90","90","45","2022","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Stormy Flight","283797","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
1 - 2 Hours
C-C-3","","","","139294980","5.99629","6.79003","1.913","3219","3454","thing","EXIT: The Game – The Stormy Flight","1","4","120","120","60","2019","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: Cat Burglar Edition","383201","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players","","","","135496554","0","6.15217","1.5","0","163","thing","Exploding Kittens: Cat Burglar Edition","2","5","30","30","15","2022","3,4","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: The Board Game","447244","7","1","0","1","0","0","0","0","0","0","0","3","","2 - 6 players

cute fun a twist on the original card game, it falls short slightly on the amount of depth and limited movement discs","","","","135499001","5.51129","5.81236","1.2","22540","1307","thing","Exploding Kittens: The Board Game","2","6","20","20","20","2025","3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Explorers of Navoria","371932","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143016700","6.52288","7.48886","2.2609","1282","5659","thing","Explorers of Navoria","2","4","80","80","40","2024","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Explorers of the Woodlands","346205","8","0","0","1","0","0","0","0","0","0","0","3","","1 -4 players
45-60 minutes 
C-B-2
Co op 

Dungeon crawler fun","","","","138695379","5.72272","6.58033","2.1667","5934","2500","thing","Explorers of the Woodlands","1","4","60","60","45","2023","1,2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Factory Funner","183284","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 6 players
30 min
C-B-3
Tile laying","","","","138696718","6.26498","7.13891","2.4146","2000","4466","thing","Factory Funner","1","6","40","40","20","2016","1,2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Faeries & Magical Creatures","385245","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 Playeres
30-60 Min 
B-A-3","","","","147094911","5.569","6.57104","2","11494","497","thing","Faeries & Magical Creatures","2","4","60","60","30","2023","2,3,4","3","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fairy Lights","336597","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players
20 min
C-B-1

Push your luck","","","","138696951","5.54104","6.44655","1.2","14653","406","thing","Fairy Lights","2","6","20","20","20","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146488569","6.79614","7.10291","1.0957","763","20973","thing","A Fake Artist Goes to New York","5","10","20","20","20","2011","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fakin' It!","432327","6.5","1","0","1","0","0","0","0","0","0","0","3","","3 - 6 players
15 minutes
C-B-5

Better as the video game. But everyone still had fun.","","","","135496412","0","6.92069","1","0","160","thing","Fakin' It!","3","6","15","15","15","2024","4,5,6","5,6","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Falconry","381501","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
5 - 15 min
C-B-5

Card","","","","138697395","5.46831","4.32833","1","30027","37","thing","Falconry","2","4","15","15","5","2023","2,3","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout Shelter: The Board Game","293889","10","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players

Hardcore Fallout fan. Love the theme. Easy to learn. ","","","","135500433","6.53834","7.22262","2.0278","1240","7900","thing","Fallout Shelter: The Board Game","2","4","90","90","60","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout: Wasteland Warfare","226176","0","0","0","1","0","0","0","0","0","0","0","3","","1-8 Players
60-120 Minutes","","","","147962380","5.80359","7.81151","3.6111","4774","1935","thing","Fallout: Wasteland Warfare","1","8","240","240","30","2018","1,2,3","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Familiars and Foes","359966","0","0","0","1","0","0","0","0","0","0","0","3","","1-5 players
20-90 min 
S-3-2","","","","142834957","5.53334","7.34","2.3333","16054","248","thing","Familiars and Foes","1","5","90","90","20","2023","4,5","4,5","5+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Faraway","385761","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 Players
15-30 Min 
C-B-1","","","","135946792","7.26957","7.53922","1.939","254","33464","thing","Faraway","2","6","30","30","15","2023","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Farkle","3181","0","0","0","1","0","0","0","0","0","0","0","3","","2+ players","","","","135497399","5.56041","5.68542","1.1146","12236","9412","thing","Farkle","2","6","30","30","30","1930","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Farms Race","395181","8.5","1","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
60 - 120 minutes 
S-2-3

Playmats hanging on brown cabinet 
Territory building","","","","138695307","5.73642","7.42222","2.3333","5686","1002","thing","Farms Race","2","4","120","120","60","2024","3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Farting Frenchies","320456","0","0","0","1","0","0","0","0","0","0","0","3","","2-12 Players
15-45 Min
C-B-1","","","","140294808","5.48939","5.11884","2","28336","308","thing","Farting Frenchies","2","12","45","45","15","2020","2,3,4","2","6–12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Farting Frenchies: Labs Fart, Too!","338363","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion 
C-B-1","","","","140294831","0","4.25","0","0","28","thing","Farting Frenchies: Labs Fart, Too!","2","12","45","45","15","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Feudum","163839","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147552100","6.76359","7.58043","4.5923","818","7331","thing","Feudum","2","5","180","180","80","2018","2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Feya's Swamp","438442","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 Players
90 Minutes
S-3-2","","","","147962338","6.29397","7.60553","3.1923","1909","3120","thing","Feya's Swamp","2","4","100","100","80","2025","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fictions: Memoirs of a Gangster","378731","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 Players
30-90 Min 
S-2-4","","","","136061019","5.57895","6.91785","1.8889","10716","431","thing","Fictions: Memoirs of a Gangster","1","4","90","90","30","2023","1,2,3,4","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fight the Blight","359959","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 Playres
15-30 Min 
C-B-1","","","","140199489","0","7.9","2","0","45","thing","Fight the Blight","2","6","30","30","15","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Final Girl","277659","8.2","1","0","1","0","0","0","0","0","0","0","3","","1 player
C-C-4","","","","137255105","7.60834","8.21156","2.7578","97","29157","thing","Final Girl","1","1","60","60","20","2021","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Final Girl: A Demon in the Shadows","438604","0","0","0","1","0","0","0","0","0","0","0","3","","1 player
C-C-4","","","","142315625","5.57829","8.79122","3","0","746","thing","Final Girl: A Demon in the Shadows","1","1","0","0","0","2025","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Final Girl: A Knock at the Door","354777","0","0","0","1","0","0","0","0","0","0","0","3","","1 player
C-C-4","","","","138427122","6.32536","8.50996","2.7826","0","7319","thing","Final Girl: A Knock at the Door","1","1","60","60","20","2023","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Final Girl: Frightmare on Maple Lane","310175","0","0","0","1","0","0","0","0","0","0","0","3","","1 player
C-C-4","","","","137255107","6.62335","8.23551","2.6905","0","11611","thing","Final Girl: Frightmare on Maple Lane","1","1","60","60","20","2021","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Final Girl: Panic at Station 2891","354776","0","0","0","1","0","0","0","0","0","0","0","3","","1 player
C-C-4","","","","138427094","6.35281","8.35985","2.9474","0","8095","thing","Final Girl: Panic at Station 2891","1","1","60","60","20","2023","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Final Girl: Terror From Above","310177","0","0","0","1","0","0","0","0","0","0","0","3","","1 player
C-C-4","","","","146488505","5.89039","7.86292","2.8182","0","6579","thing","Final Girl: Terror From Above","1","1","60","60","20","2021","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Final Girl: The Happy Trails Horror","307683","8.2","1","0","1","0","0","0","0","0","0","0","3","","1 player
C-C-4","","","","137255104","7.01255","8.19777","2.4706","0","16374","thing","Final Girl: The Happy Trails Horror","1","1","60","60","20","2021","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Final Girl: The Haunting of Creech Manor","307684","0","0","0","1","0","0","0","0","0","0","0","3","","1 player
C-C-4","","","","138427132","6.30895","7.79842","2.6538","0","9722","thing","Final Girl: The Haunting of Creech Manor","1","1","60","60","20","2021","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Finders Creepers","417073","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30-45 min 
S-3-1","","","","135500057","5.5287","6.58256","1","17090","483","thing","Finders Creepers","2","4","45","45","30","2024","2,3","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fire In The Hole","357963","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","146873754","5.57213","6.79637","1","11257","697","thing","Fire In The Hole","2","4","40","40","15","2022","2,3,4","3,4","5","","","","","","","standalone","","","","","","","","","","","","","","",""
